id;nombre;urlStream;urlImagen
1;Radio María;https://dreamsiteradiocp2.com/proxy/rmspain1?mp=/stream;https://radiomaria.es/wp-content/uploads/2022/12/RM_22_web_Logo_Virgen_web.png.avif
2;Canal Sur Radio Sevilla;https://rtva-live-radio.flumotion.com/rtva/csrsev.mp3;https://static.mytuner.mobi/media/tvos_radios/305/canalsur-radio-sevilla.7876fa3f.png
3;Radio Sevilla SER;https://playerservices.streamtheworld.com/api/livestream-redirect/SER_SEVILLA.mp3;https://static.mytuner.mobi/media/tvos_radios/3yE4sGgKJ3.jpg
4;COPE Sevilla;https://sevilla-copesedes-rrcast.flumotion.com/copesedes/sevilla-low.mp3;https://static.mytuner.mobi/media/tvos_radios/888/cope-sevilla.6cf56ae0.png
5;Onda Capital;https://server1.radiocast.es/listen/onda_capital/capitalweb;https://static.mytuner.mobi/media/tvos_radios/8brx4xud8zdt.jpg
